name,label,color
T-Shirt_619,T-Shirt,BLUE
T-Shirt_620,T-Shirt,BLUE
T-Shirt_621,T-Shirt,BLUE
T-Shirt_622,T-Shirt,RED
T-Shirt_623,T-Shirt,GRAY
T-Shirt_624,T-Shirt,WHITE
T-Shirt_625,T-Shirt,BLACK
T-Shirt_626,T-Shirt,BLACK
T-Shirt_627,T-Shirt,BLUE
T-Shirt_628,T-Shirt,BLUE
T-Shirt_629,T-Shirt,GRAY
T-Shirt_630,T-Shirt,WHITE
T-Shirt_631,T-Shirt,BLUE
T-Shirt_632,T-Shirt,BLACK
T-Shirt_633,T-Shirt,CYAN
T-Shirt_634,T-Shirt,PURPLE
T-Shirt_635,T-Shirt,BLACK
T-Shirt_636,T-Shirt,CYAN
T-Shirt_637,T-Shirt,BLUE
T-Shirt_638,T-Shirt,YELLOW
T-Shirt_639,T-Shirt,RED
T-Shirt_640,T-Shirt,Undefined
T-Shirt_641,T-Shirt,BLUE
T-Shirt_642,T-Shirt,BLUE
T-Shirt_643,T-Shirt,GRAY
T-Shirt_644,T-Shirt,RED
T-Shirt_645,T-Shirt,BLUE
T-Shirt_646,T-Shirt,WHITE
T-Shirt_647,T-Shirt,BLUE
T-Shirt_648,T-Shirt,BLUE
T-Shirt_649,T-Shirt,BLUE
T-Shirt_650,T-Shirt,BLUE
T-Shirt_651,T-Shirt,RED
T-Shirt_652,T-Shirt,BLACK
T-Shirt_653,T-Shirt,BLACK
T-Shirt_654,T-Shirt,CYAN
T-Shirt_655,T-Shirt,BLUE
T-Shirt_656,T-Shirt,WHITE
T-Shirt_657,T-Shirt,GRAY
T-Shirt_658,T-Shirt,RED
T-Shirt_659,T-Shirt,BLACK
T-Shirt_660,T-Shirt,GRAY
T-Shirt_661,T-Shirt,ORANGE
T-Shirt_662,T-Shirt,WHITE
T-Shirt_663,T-Shirt,BLUE
T-Shirt_664,T-Shirt,BLUE
T-Shirt_665,T-Shirt,BLUE
T-Shirt_666,T-Shirt,CYAN
T-Shirt_667,T-Shirt,PURPLE
T-Shirt_668,T-Shirt,ORANGE
